,domain,bias_rating,category,mbfc_ideo,ave_m,ave_m_log10,donation,donation_adj,len_of_content,content,link,cleaned_rating,side,sep_side
96,globalnews.ca,left-center,leftcenter,-1.0,26860000.0,7.4291060245015200,0,0,1,unknown,unknown,left center,left,left center
97,esquire.com,left,left,-1.0,26023333.0,7.415362935770800,0,0,1,unknown,unknown,left,left,left
98,lifehacker.com,left-center,leftcenter,-1.0,25940000.0,7.413969988490330,0,0,1,unknown,unknown,left center,left,left center
99,nationalinterest.org,right-center,right-center,1.0,25620000.0,7.408579142360050,0,0,1,unknown,unknown,right center,right,right center
100,economictimes.indiatimes.com,right-center,fake-news,1.0,25360000.0,7.404149266334870,failed,failed,1,unknown,unknown,right center,right,right center
101,aleteia.org,right-center,right-center,1.0,25317555.0,7.403421779270150,1,1,1,donate,unknown,right center,right,right center
102,makeuseof.com,least biased,center,0.0,25300000.0,7.403120538341610,0,0,1,unknown,unknown,unknown,unknown,unknown
103,livemint.com,least biased,center,0.0,24670000.0,7.392169149489740,0,0,1,unknown,unknown,unknown,unknown,unknown
104,ctvnews.ca,least biased,center,0.0,24123333.0,7.382437329908450,0,0,1,unknown,unknown,unknown,unknown,unknown
105,scmp.com,left-center,leftcenter,-1.0,23980000.0,7.379849196873530,0,0,1,unknown,unknown,left center,left,left center
106,apnews.com,left-center,leftcenter,-1.0,23923333.0,7.378821703615050,1,1,1,donate,unknown,left center,left,left center
107,polygon.com,left-center,leftcenter,-1.0,23400000.0,7.3692158574101400,0,0,1,unknown,unknown,left center,left,left center
108,hollywoodreporter.com,left-center,leftcenter,-1.0,23246666.0,7.366360694547630,0,0,1,unknown,unknown,left center,left,left center
109,washingtonexaminer.com,unknown,right,1.0,22520000.0,7.352568405464140,0,0,1,unknown,unknown,unknown,unknown,unknown
110,lapresse.ca,left-center,leftcenter,-1.0,22166666.0,7.345700397114190,0,0,1,unknown,unknown,left center,left,left center
111,thehindu.com,left-center,leftcenter,-1.0,22140000.0,7.345177616542700,0,0,1,unknown,unknown,left center,left,left center
112,heavy.com,left-center,leftcenter,-1.0,22033333.0,7.343080217906510,0,0,1,unknown,unknown,left center,left,left center
113,dailywire.com,right,right,1.0,21793333.0,7.338323674809930,0,0,1,unknown,unknown,right,right,right
114,elitedaily.com,left,left,-1.0,21540000.0,7.333245719124200,0,0,1,unknown,unknown,left,left,left
115,deadline.com,left-center,leftcenter,-1.0,21276666.0,7.327903596514070,failed,failed,1,unknown,unknown,left center,left,left center
116,realclearpolitics.com,right-center,right-center,1.0,21173333.0,7.325789248373640,0,0,1,unknown,unknown,right center,right,right center
117,news24.com,least biased,center,0.0,21146666.0,7.325241926435640,0,0,1,unknown,unknown,unknown,unknown,unknown
118,mashable.com,left,left,-1.0,21090000.0,7.324076600331920,0,0,1,unknown,unknown,left,left,left
119,thoughtco.com,least biased,center,0.0,20896666.0,7.320077022046950,0,0,1,unknown,unknown,unknown,unknown,unknown
120,nydailynews.com,left-center,leftcenter,-1.0,20560000.0,7.31302313144651,failed,failed,1,unknown,unknown,left center,left,left center
121,howstuffworks.com,least biased,center,0.0,20460000.0,7.310905650602660,0,0,1,unknown,unknown,unknown,unknown,unknown
122,standard.co.uk,right-center,right-center,1.0,20310000.0,7.307709923404810,0,0,1,unknown,unknown,right center,right,right center
123,knowyourmeme.com,least biased,center,0.0,20100000.0,7.303196079027180,failed,failed,1,unknown,unknown,unknown,unknown,unknown
124,9news.com.au,right-center,right-center,1.0,19786666.0,7.29637264486759,0,0,1,unknown,unknown,right center,right,right center
125,arstechnica.com,least biased,center,0.0,19783333.0,7.296299483205980,0,0,1,unknown,unknown,unknown,unknown,unknown
126,ft.com,least biased,center,0.0,19703333.0,7.294539719323680,0,0,1,unknown,unknown,unknown,unknown,unknown
127,rollingstone.com,left,left,-1.0,19653333.0,7.293436234863170,0,0,1,unknown,unknown,left,left,left
128,investors.com,right,right,1.0,19540000.0,7.290924559382750,failed,failed,1,unknown,unknown,right,right,right
129,consumerreports.org,least biased,center,0.0,19423333.0,7.288323778276770,1,1,1,donate,https://donate.consumerreports.org/donation/15?INTKEY=2021000121&one_time_ask=1000%7C500%7C100%7C50%7C35&one_time_ask_selected=4&monthly_ask=104%7C52%7C10%7C7%7C5&monthly_ask_selected=2,unknown,unknown,unknown
130,aljazeera.com,left-center,leftcenter,-1.0,19240000.0,7.284205090274270,0,0,1,unknown,unknown,left center,left,left center
131,sbs.com.au,left-center,leftcenter,-1.0,19186666.0,7.28299953808998,0,0,1,unknown,unknown,left center,left,left center
132,news.abs-cbn.com,least biased,center,0.0,19053333.0,7.279970980595020,0,0,1,unknown,unknown,unknown,unknown,unknown
133,newyorker.com,left,left,-1.0,18903333.0,7.276538407882660,0,0,1,unknown,unknown,left,left,left
134,variety.com,left-center,leftcenter,-1.0,18770229.0,7.273469594257940,0,0,1,unknown,unknown,left center,left,left center
135,independent.ie,unknown,right-center,1.0,18650000.0,7.270678859431270,0,0,1,unknown,unknown,unknown,unknown,unknown
136,business-standard.com,right-center,right-center,1.0,18594298.0,7.269379810220110,0,0,1,unknown,unknown,right center,right,right center
137,chicagotribune.com,right-center,right-center,1.0,18580000.0,7.269045733031920,0,0,1,unknown,unknown,right center,right,right center
138,fivethirtyeight.com,left-center,leftcenter,-1.0,18500000.0,7.267171751878390,0,0,1,unknown,unknown,left center,left,left center
139,straitstimes.com,right-center,right-center,1.0,18476666.0,7.266623631707810,0,0,1,unknown,unknown,right center,right,right center
